"n","member_id","member_name","current_DOIs","current_DOIs_affiliation","current_journal_articles","current_journal_articles_affiliation"
"1","5007","University of Tartu Press","535","0","535","0"
"2","310","Westburn Publishers","130","0","130","0"
"3","183","Society for Leukocyte Biology","0","0",NA,NA
"4","283","NIDA/RTI International","0","0",NA,NA
"5","309","Vathek Publishing","0","0",NA,NA
"6","4922","The Korean Society for Heat Treatment","8","0","8","0"
"7","4996","Quanta","14","0","14","0"
"8","371","Indiana University Press (Project Muse)","0","0",NA,NA
"9","390","Surface Analysis Society of Japan","19","1","19","1"
"10","4919","Korean Association of Agricultural Extension","6","0","6","0"
"11","2060","Baishideng Publishing Group Inc.","4398","0","4398","0"
"12","3822","Digital Journal of Opthalmology","28","0","28","0"
"13","3823","Editora Unicentro","0","0",NA,NA
"14","1","Annals of Family Medicine","333","0","333","0"
"15","3","American Association of Physics Teachers (AAPT)","1330","0.490977436304092","1072","0.609141767024994"
"16","10","American Medical Association (AMA)","14330","0.806769013404846","14330","0.806769013404846"
"17","12","American Meteorological Society","4950","0.932525277137756","4950","0.932525277137756"
"18","15","American Psychological Association (APA)","22336","0","15116","0"
"19","16","American Physical Society (APS)","43248","0","43036","0"
"20","17","American Scientific Publishers","15368","0.612701714038849","15368","0.612701714038849"
"21","21","Medical Association of Nippon Medical School","235","0.714893639087677","235","0.714893639087677"
"22","24","American Physiological Society","6015","0.984206140041351","6015","0.984206140041351"
"23","37","American Society of Plant Biologists (ASPB)","1640","0","1640","0"
"24","46","Blackhorse Publishing","0","0",NA,NA
"25","77","The Electrochemical Society","6394","0","6355","0"
"26","93","Springer Fachmedien Wiesbaden GmbH","323","0","323","0"
"27","108","Institute of Mathematical Statistics","2244","0","2244","0"
"28","116","Japanese Society of  Mammalian Ova Research","22","0.909090936183929","22","0.909090936183929"
"29","118","Japan Society of Equine Science","44","1","44","1"
"30","119","Japanese Society of Hypertension","0","0",NA,NA
"31","120","Japanese Physical Therapy Association","22","0.727272748947144","22","0.727272748947144"
"32","121","Japanese Society of Toxicologic Pathology","98","1","98","1"
"33","122","Japanese Society of Veterinary Science","767","0.997392416000366","767","0.997392416000366"
"34","124","Japan Society of Mechanical Engineers","13103","0.942913830280304","13103","0.942913830280304"
"35","125","Japanese Society for Pediatric Endocrinology","68","0.985294103622437","68","0.985294103622437"
"36","130","Thomas Land Publishers","93","0.946236550807953","93","0.946236550807953"
"37","137","Pleiades Publishing Ltd","39714","0.000755401095375419","39714","0.000755401095375419"
"38","155","Canadian Science Publishing","6423","0.96823912858963","6423","0.96823912858963"
"39","160","Penn State Press (Project Muse)","0","0",NA,NA
"40","163","Pharmaceutical Society of Japan","1493","0.990622878074646","1493","0.990622878074646"
"41","164","Pion Ltd","0","0",NA,NA
"42","170","Royal College of Psychiatrists","1422","0","1422","0"
"43","171","Royal College of Surgeons of England","957","0.760710537433624","957","0.760710537433624"
"44","175","The Royal Society","7097","0.130759477615356","6985","0.132856115698814"
"45","191","Swets & Zeitlinger Publishers","0","0",NA,NA
"46","192","Techno-Press","0","0",NA,NA
"47","222","American Association for Clinical Chemistry (AACC)","1025","0","1025","0"
"48","223","American Association on Intellectual and Developmental Disabilities (AAIDD)","240","0.675000011920929","240","0.675000011920929"
"49","225","American Association of Pharmaceutical Scientists (AAPS)","891","0","891","0"
"50","231","Acoustical Society of America (ASA)","7758","0.572570264339447","7219","0.615320682525635"
"51","232","American Society for Clinical Investigation","2035","0","2035","0"
"52","245","Chem-Bio Informatics Society","27","1","27","1"
"53","253","Project Euclid","63","0","48","0"
"54","260","The Haworth Press","0","0",NA,NA
"55","269","Japan Society for Bioscience, Biotechnology, and Agrochemistry","215","0.018604651093483","215","0.018604651093483"
"56","272","Japan Science and Technology Agency (JST)","0","0",NA,NA
"57","276","Ovid Technologies (Wolters Kluwer Health)","158457","0.129871189594269","158444","0.129881843924522"
"58","285","The Optical Society","32738","0","18684","0"
"59","288","Portland Press Ltd.","2620","0","2620","0"
"60","291","Rockefeller University Press","1591","0.28598365187645","1591","0.28598365187645"
"61","317","AIP Publishing","58678","0.45016872882843","31429","0.840465784072876"
"62","326","Genetics Society of Japan","69","0.971014499664307","69","0.971014499664307"
"63","332","Japanese Pharmacological Society","203","0.428571432828903","203","0.428571432828903"
"64","336","Japanese Society of Microbial Ecology","139","1","139","1"
"65","341","Proceedings of the National Academy of Sciences","8664","0","8664","0"
"66","353","Sigma Xi","254","0.0118110235780478","254","0.0118110235780478"
"67","378","Inderscience Publishers","32436","0","32436","0"
"68","382","Joule Inc.","1829","0","1829","0"
"69","385","International Society of Cytology","167","0.994011998176575","167","0.994011998176575"
"70","386","Japan Endocrine Society","420","0.761904776096344","420","0.761904776096344"
"71","387","George Washington University Institute for Ethnographic Research (Project Muse)","0","0",NA,NA
"72","410","Japanese Society for Artificial Intelligence","95","1","95","1"
"73","412","Carden Jennings Publishing Co.","170","0","170","0"
"74","421","The Society for the Study of Evolution","0","0",NA,NA
"75","425","Akademiai Kiado Zrt.","4047","0.810724020004272","4047","0.810724020004272"
"76","428","Laser Pages Publishing Ltd.","0","0",NA,NA
"77","433","Research Information Ltd.","155","0","155","0"
"78","434","American Academy of Implant Dentistry","180","0.899999976158142","180","0.899999976158142"
"79","438","Anthropological Society of Nippon","61","0.754098355770111","61","0.754098355770111"
"80","526","Aquatic Mammals Journal","167","0","167","0"
"81","527","International Society of Endovascular Specialists","0","0",NA,NA
"82","532","Institute of Electronics, Information and Communications Engineers (IEICE)","4218","0.916785180568695","4218","0.916785180568695"
"83","535","Competence Network Pediatric Oncology & Hematology","0","0",NA,NA
"84","538","Johnson Matthey","114","0.0614035092294216","114","0.0614035092294216"
"85","575","American Society of Plant Taxonomists","203","0.00492610828951001","203","0.00492610828951001"
"86","622","Tohoku University Medical Press","237","1","237","1"
